101	rasittava soppa Mikään ei nykyihmistä rasita niin paljon kuin rahattomuus , varsinkin rahattomuus , jonka on itse aiheuttanut .	neg,neg
102	Aivan kuten kävi 90-luvun alussa .	neu,neu
103	kyllä se kansi periksi antaa aivan heti jos täyttää poteron väärin ,, muutama tullut kaivettua ja peitettyä ( käsipelillä )	neg,neu
104	Mtk on yhrä uskottava kuin itänaapurin agitaatiokoneisto	neg,neg
105	Suomen ja Kreikan kahdenvälistä vakausjärjestelyä ei hyväksytä muualla Eu:ssa .	neg,neg
106	Nämä olivat vieläkin halvempia kuin Albeniassa .... Taksissa pitää hinta sopia ennen matkaa eikä ottaa mittari hintaa .	neu,neu
107	1920-luvun alussa perustettu AKS kävi avointa sotaa nuorta Neuvostoliittoa ja omaa parlamentarismiamme vastaan .	neu,neg
108	Lasten jupinoita :) Mutta vanhempien tehtävä on kertoa , että olet poika ja pojat kulkee poikien vaatteissa !! nykyyhteiskunta tuntuu olevan niin sairas muutoinkin , että on parempi kertoa pienelle biologian tosiasiat itse :)	neg,neg
109	Ei se , että iskee kouransa pari kertaa naisensa alapäähän paljon innosta .	neg,neg
110	Tuo sun tekstisi käännettynä enkuksi : google translator is handy when you were kirjottelee , unless someone has noticed :) Viella jokku the wonders of produce in the English language is kirjotus taitoa .	neu,neu
111	Ja joudun valeoikeudenkäyntiin , josta väistämättömänä seurauksena on valevankeus .: - ( ( (	neu,neg
112	Junat ei kulje ajalllaan , milloin jäässä , milloin muuten vaan paskana , mutta johtaja sai yhen satatuhatta lisää vuosipalkkaa , vaikka ei osaa hommiaan .	neg,neg
113	Itseasiassa tämä Ukrainan sota ei ole edes katkaissut näitä hankkeita , sinänsä ihmeellistä miksi tämä raha virtaa sinne , kun kuitenkin laitetaan pakotteita muualle .	neg,neg
114	En minä voi , enkä halua mitään rajoittaa , mutta oletko sinä kommunisti ?	neg,neu
115	Ja JOS luottotappioita tulevaisuudessa tulee , niin vasta silloin vopimme alkaa puhua rahan lapioimisesta hulttiomaihin .	neu,neg,pos
116	Lait tulevat muuttumaan , ne ovat vain ihmisten ja pakkoruotsihurrien tekemiä .	neu,neu
117	Haluatko sinä äänestäjänä lisää ällähin saastaa tänne ?	neg,neg
118	Hae kuule uskonto mamma ase käteen pistä se suuhus ja paina liipasinta :)	neg,neg
119	&gt;&gt;turhan yksipuolisen kuvan asioista päähänsä hahmottanut kirjoittaja &gt;&gt;tai sitten propakandisti Monipuolistetaan sitten .	neg,neu
120	Kannattaako kaikesta huolestua .	neu,neu
121	Artikkelin puolessavälissä on mielenkiintoinen info joka kannattaa lasershowlaitteita pelkäävien lukea .	pos,neu
122	Tai palata hävityn sodan jälkeen halveksittuna ja raajarikkona , puolustamansa maankin hylkäämänä , kun samaan aikaan loisivat nikkerinakkerit ovat raiskanneet vaimosi ja lapsesi ?	neg,neg
123	Ja jos olet niin ruma että et saa todellakaan ihmiseltä kuksi vaikka koiraa niin helpottaa .	neg,neg
124	Tasavallan presidentin kanslia Neuvonantaja Tuovinen Timo 6 351 Ei tied .	neu,neu
125	Niin , Allah-Aho on taas todistanut että muut kansat , tällä kertaa portugalilaiset , ovat ali-ihmisiä , mamuja , jotka tulisi hävittää maan päältä .	neg,neg
126	Asuntolaina-aika on tuollaiset 20-35 vuotta ja sinä aikana ehtii kyllä tapahtua paljon .	pos,neu
127	Monen puolueen epävarma hallitus epävarmasssa taloudellisessa maailmantilanteessa .	neu,neg
128	Kosto elää +/- = 0	neg,neg
129	on tosin surullista että upeat merinäköalapaikat rannalta tuntuu olevan turisteille suunnattuja .	neg,neg
130	Muuten hyvä pointti , mutta tota päihdeasiaa en kyllä liikaa menis korostamaan , koska asiat ei aina johdu siitä enkä menisi sitä pääsyyksi muutenkaan väittämään .	pos,neu
131	Jotain asialle pitää Suomessa tehdä ja onhan aloitteessa paljon hyvää .	pos,neu
132	Mielestäni se on ok .. mutta miten he arvostelevat ulkokuoreensa tyytyväisiä chattaajia , pinnallisiksi ja heikon minäkuvan omaaviksi ?	pos,neg
133	Jos ennen sanoin kuuntelevani heitä , se oli kaikkien mielestä ok , mutta kun nykyään sanoo kuuntelevansa heitä , kaikki heittää jotain paskaa teinimainos-shittii ... tiedä häntä miksi .	neg,neg
134	Yrität puhua jollekkin , nin katsellaan maahan tai murahdetaan ... ihan outoa hommaa : /	neg,neg
135	No täytyy työt tehdä tehokkaasti tehokkailla ( hyvillä ) välineillä sillä pärjää pienet sarjat hyvä/nopee palvelu näillä on menty kohta 30vuotta .	pos,neu
136	Onhan se tietysti väärin , mutta ei se kai minun vikani ole Tarkoitatko sitä , että Tunisialaiset miehet hoitelevat ssuomilutkia , samalla kun alistavat omia naisiaan .	neg,neg
137	Kokoomus pärjää seuraavissa vaaleissa kuten sekoilevat persut ; huima nousu taas vuoden päästä !	pos,neu
138	Ai niin joo .	neu,neu
139	juomat koko päivän ilman lisämaksua .	pos,neu
140	Its ‘fascism’ is that of business enterprise organized on a monopoly basis , and in full command of all the military , police , legal and propaganda power of the state .	neu,neu
141	Aika kuitenkin loppuu tältä hallitukselta ja Katainen poistuu komissaariksi ja perustuslakikin taitaa Turun tuholta pelastaa .	pos,pos
142	Havaitsin kyllä , että sinulla on vaikeuksia ymmärtää kirjoitettua tekstiä .	neg,neg
143	Siksi onkin ( nimenoman Suomen historian kannalta ) merkillistä , että esimerkiksi hämäläiset kansana mainitaan varhaiskeskiajalla useammin venäläisissä kronikoissa kuin ruotsalaisissa , ja että esimerkiksi Vanain asutuskeskuksen hävittämisestä ( ilmeisesti nyk. Hämeenlinna ) ei löydy sanaakaan .	neg,neg
144	Ei , enhän niin kirjoittanut .	neu,neu
145	Toivomme nyt sitten vaan että se on sellainen että sen voisi hoitaa kerralla veks niin ei epätietoisuudessa tarvitsisi kärvistellä tulevaisuudessa .	neg,neu
146	Kätlinin vartalo on vanukasta nykyäänXD	neu,pos
147	Näin meillä kävi useammankin kerran , jostakin otti signaalin , epäilen naapureiden kapulan saneen sen signaalin meillekin .	neu,pos
148	Minä ainaki pidän suojaukset sen 3 päivän ajan jonka ne lupasi hallaa , en tunnusta että olen niin laiska , minua nyt yksin kertasesti väsyttää .	neg,neu
149	Heillä näyttää olevan homma hanskassa ja jo tuolla iällä .	pos,pos
150	! vai mitä :)))))	pos,neg
151	On ihan luonnollista , että tietynlainen seksi aiheuttaa vatsanväänteitä , jos sitä yrittää ajatella omalle kohdalle .	neu,pos
152	Instituutiot ovat olemassa sitä varten , että ne edistävät kansakunnan selviytymistä ja tulevaisuutta .	neu,pos
153	Mitä enemmän tyytyväisiä ihmisiä , sen parempi .	pos,pos
154	Kun oma sielu itkee .	neg,neg
155	&gt;&gt; Jos ei osaa huomata aikojen muuttuneen niin asiat ovat tosi heikosti .	neg,neg,neg,neg
156	Hän oli mukava ja harjoitukset meni aina mukavasti .	pos,pos
157	Pitkän linjan diplomaatti ja juristi Skåre työskentelee toista vuotta Naton pääsihteerin alaisuudessa Naiset , rauha ja turvallisuus - erityisedustajana .	neu,neu
158	Kyse ei ole korvausinvestoinneista , vaan kapasiteetin moninkertaistamisesta vientimarkkinoille .	neu,neu
159	Jos et katso omaistesi perään , ei katso kukaan muukaan .	neg,neg
160	Ainoa mihin tyssää monen kohdalla on tuo perhe , lasten hankkiminen .	neu,neg
161	- oikea .	neu,neu
162	Varuskuntia joudutaan lakkautamaan jolloin osa Suomesta jää kokonaan ilman puolustusta .	neg,neg
163	Älä mieti liikaa , kaikki on jo mietitty sun puolesta .	neu,neu
164	En minä omien naisteni kanssa ole vakavissani joutunut miettimään ja laskelmoimaan eroa , koska ovat tervepäisiä naisia olleet ja halunneet hoitaa oman osansa .	pos,neu,neu
165	Pöllöt äänestäjät mahdollisti pelleilyn jatkumisen !	neg,neg
166	Lipponen ei muistanut , että esimerkiksi Sortavala ja Käkisalmi olivat lujasti suomalaisten käsissä kun aselepo solmittiin .	neu,neg
167	Katainen uhkaili , että suomalaisille käy huonosti , jollei sitä rahaa löydy joka kerta miljardeja sinne eurooppaan .	neg,neg
168	Kerta siellä riitti , noo , olihan muuten puitteet kauniit ja vesi lämmintä uimiseen .	neg,pos
169	Samoihin aikoihin USA siirtyi sanoista tekoihin Irakissa .	neu,neu
170	Pelkääkö Jani ettei pääse enää uudelleen eduskuntaan kun on täytynyt heittää äänienkalasteluverkot jo kirkonkin puolelle .	neg,neg
171	Jos tilanne tuntuu täysin kestämättömältä , niin tuolla on kriisikeskuksen puhelinnumero , sinun ei tarvitse kärsiä yksin .	neu,neu
172	Oma äänestämäni ehdokkaani ei päässyt eduskuntaan , ei päässyt se toinenkaan , joka toisessa puolueessa oli vaihtoehtonani lähes loppuun asti , ja tietenkin se hieman harmittaa , mutta vaalin tulosta kokonaisuutena ajatellen voin hyvin mukailla Rakel Wihurin aikoinaan tunnetuksi tekemää mietelausetta : ”Niin on hyvä , kuin kävi” .	pos,pos
173	Lakko pitää :)	pos,pos
174	Aina on otettava tämä mahdollisuus huomioon , aikataulu ei saa olla liian tiukka .	neu,neu,neu,neu
175	Siihen liittyy vastuu , siitä muistuttaa säädetyt lait .	neu,neu,neu
176	– Tilastokeskuksen luvut osoittavat yhä liian alhaista köyhien määrää , Makrotaloudellisen tutkimuskeskuksen asiantuntija Igor Poljakov kommentoi Kommersantille .	neg,neu
177	Ilmeisesti yrität harhauttaa , jotta vaikuttaa , että rikos olisi sellainen jota kaikki tekevät .	neu,neu
178	Ennen kaikkea kuppilan siisti ympäristö tekee myös asiakkaiden käytöksestä siistiä !	neu,pos
179	Katainen tarjoaa alkoholisoituneelle portugalille krapularyypyn jolla krapulaa voi siirtää parivuotta eteenpäin .	neg,neg,neu
180	nämä vanhat ketut oli melko vaitonaisia .. kun ovat pilanneet jo kaiken .	neg,neg
181	Enhän minä , ihminen kallis , halua mitenkään agressiivinen olla winkkarin jäsenistöä kohtaan .	neu,neu
182	Jostain syystä tökkää punaista tolle eka laskulle vaikka väittäisin että edelleen esim. 3+8= 11 ?	neu,neg
183	Kyl määki muistan hirmusen mäkäräislauman hyäkkäyksen , tosin iha nuaruusajalta .	neu,neu
184	Mutta oleellinen syyllinen on AM-ryhmä .	neg,neg
185	Jos hän on narsisti , pahuus jatkuu , muuta tietä ei ole .	neg,neg
186	No ei me ihmiset nyt ihan heti sukupuuttoon kuolla !	pos,pos
187	Sen miehen uskottavuus on samaa luokkaa kuin Oinosen ja Hakkaraisen , eli alta nollan .	neg,neg
188	Huomaa miten poika kärsii , kun viikonlopun jälkeen menee kotiin , niin ei meinaa eikä halua lähteä ja itkee koko matkan kun ei halua mennä sinne .	neg,neg
189	Stalismi yliopistolla oli inhottavimpia ja epämoraalisimpia ilmiöitä , joiden kanssa olen joutunut toiminaan .	neg,neg
190	Hyvästi eurot : Bonum pankin rakentaminen etenee määrätietoisesti ja tulee tarjoamaan Pop Pankeille keskusluottolaitospalvelut 2015 aikana .	neu,neu
191	Tässä mies tämän filosofian puolesta eduskuntaan Pohjois-Savosta http://www.facebook.com/profile.php?id=1490454949# !	neu,neu
192	Tuloerojen kaventaminen merkitsee samaa kuin kysynnän lisäys , mikä elvyttää taloutta .	neu,neu
193	Molemmat ruotsalaiset päivälehdet kommentoivat naureskellen Salen ja Jennin viime hetken ruotsin preppauskurssia , kun kummaltakaan ei tuo toinen kotimainen oikein suju .	neg,neg
194	Mikä siinä oli niin kauheaa ?	pos,neu
195	Luulen että moni köyhä on kanssani samaa mieltä .	neu,neg
196	Se yrittää kaapata YK : n roolia , ja osallistuu valta- ja talouspoliittisesti kiinnostaviin konflikteihin .	neu,neu
197	Ennemmin kannattaisi olla vihainen velkojillesi .	neg,neg
198	Onko näin siis sinun mielestäsi mies auktoriteettina naista ylempi , vaikka tilanne olisi sellainen , että nainen on arvossa pidetty arkkitehti ja mies lapsiaan kohtaan väkivaltainen , työtön juopporetku ?	neg,neg
199	Sensijaan valehtelevaisella on edeleenkin mm seuraavat piikissään : kuinka maan suurimpiin viljantoimittajien kuuluvien suurtillallisten poistuminen viljantoimitus markkinoilta vaikuttaa kulakkien mahdollisuuksiin kaapata nuo viljantoimitusmarkkinat .	neg,neg
200	Side tarjoaa paljon nähtävää : antiikkiset pylväiköt ja rakennukset vanhan kylän kapeilla kujilla tuovat tuulahduksia roomalaisten ja kreikkalaiset perinnöstä .	pos,neu
201	html Vai miten selität tuon 33% kannatuksen ?	neg,neu
202	Raksa-ala on siitä hyvä että siellä kyllä riittää noita työntekijöitä ja töihin kyllä aina pääsee jos vain uskaltaa hakea .	pos,pos
203	Tein kaupat ulkomailla ja saadut rahat ulkomailla tilillä .	neu,neu
204	Mutta huumori sikseen , minä muistan tämän vielä seuraavalla vaalikaudellakin .	neg,neu
205	Rötöstelijöitä kohtaan oikein mutta ei pikkusummista .	pos,neu
206	Kaikki tämä on vain ja ainoastaan veronkiertoa varten .. Katso samalla myös heidän virkojansa ja nimityksiänsä , suurin osa elää meidän maksamista veroista jossain huuhaa virassa Ihmettelen , miks iheistä ei ole ollut aikaisemmin puhetta missään ?	neg,neg
207	Ilmeisesti motiivina ei todellakaan ole vain olla aiheuttamatta traumaa lapselleen , vaan halu saada itselleen lapsensa synnyttämä lapsi .	neg,neu
208	Naiselle tarve olla samanlainen kuin muut naiset ja näin päästä ryhmään on suurempi .	pos,neu
209	Kipu tuntui koko virtsaamisen ajan ja oli sen verran voimakas että alkoi hieman heikottamaan ja hikeä pukkas otsaan .	neg,neg
210	Emme asu yhdessä , emmekä edes ajattele sitä .	neu,neu
211	:(	neu,neg
212	Sylinterimäisessä maassa kaikkialla olisi samanlainen päivänpituus , samanlaiset vuodenajat ja jokseenkin sama ilmasto .	neu,neu
213	Kuin mato p a s k a s s a a n. Astropoliksen loppuminen on voitto yhteiskunnan tuottaville jäsenille .	neg,pos
214	Kokoomus ja Kepu !	neg,pos
215	Et ilmeisesikään ole seurannut aiheesta käytyjä keskusteluja ja tehtyjä tutkimuksia ?	neu,neg
216	Mieti sitä idiootti .	neg,neg
217	HDI Xantiassa on ymmärtääkseni aina se tehokkaampi 110 heppainen moottori , jota ei xsaroissa ja pösöissä niin useasti ole .	pos,pos
218	Ja irvokas sanailu ?	neg,neg
219	Samat äärioikeistolaiset veropakolais-suursijoittajat asekauppiaat , kuolemankylväjät , ovat natohankkeen takana , kuin olivat Petosjytkyn =P ersut=Kokoomus - taktiikan takana .	neg,neg
220	Mitä mieltä olet tästä gallupista ?: Ihan kiva .	pos,pos
221	Hän on ahkera ja aina nenä kiinni kirjassa .	pos,pos
222	Ja olisiko iso läjä paskaa sopiva patsas , samalla voisi torille laittaa kreikan lipun liehumaan .	neg,neg
223	Koetas korjata omias .	neg,neu
224	Tämä varmaankin oli ironiaa , ei tuo oikein mitään muutakaan voi olla .	neg,neu
225	Ja mukavaa päivää kaikille , koleasta säästä piittaamatta !	pos,pos
226	Peugeot ja Citroen on sama kuin Ducato , ja kestää vähän perkeleesti kovaa käyttöä .	pos,pos
227	Sekoomus , ei tähän asiaan ole halunnut puuttua , sillä heidän tyhmä vaalikarjansa on tätä köyhää pikkuporvallistoa vaikka edustajat ovatkin huonosti menestyviä yrittäjiä .	neg,neg
228	Hyrskylahden mielipide veteraanikommentissaan meni todella pahasti överiksi !	neg,neg
229	kun viisas suomalainen mies , Tepposet ; kirjoittaa hyvän viestin !	pos,pos,pos,neu
230	Tuo ruiskaisusi tuo mieleeni kohtauksen eräästä Spede-showsta .	pos,pos
231	Kaikilla on läskiä , mutta ei sillai , että se näkyy jne. Läskiähän kaikissa normaalipainoisissakin on jos ei ole anorektikon laiha , joka ei ole normaalipainoista .	neu,neu
232	Älä puhu osakeyhtiöstä .... täysin typerä ajatus .	neg,neg,neg
233	USA toimii kunten Natsi-Saksa aikanaan harjoittaessa ennaltaehkäiseviä iskuja mm. terrorinvastainen sota joka on ollut farssi , Irakin sota .	neg,neg
